ID;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s
849323;C115_G2;;car;blue;1665266294360;1665266294700;315.15;315.15;315.15;;0.34;0.00
849344;C115_G2;;motorcycle;undefined;1665266320000;1665266320480;360.20;305.94;445.19;;0.48;0.00
849354;C115_G2;;car;blue;1665266331440;1665266332040;360.10;330.99;403.77;;0.60;0.00
849431;C115_G2;;car;red;1665266387740;1665266388380;236.72;236.72;236.72;;0.64;0.00
849469;C115_G2;;car;red;1665266413380;1665266413680;280.22;280.22;280.22;;0.30;0.00
849699;C115_G2;;car;silver;1665266507680;1665266508420;213.68;184.70;257.15;;0.50;0.00
849830;C115_G2;;car;blue;1665266540960;1665266541360;308.99;308.99;308.99;;0.40;0.00
850139;C115_G2;;car;silver;1665266764980;1665266765720;218.49;214.96;289.16;;0.42;0.00
850159;C115_G2;;car;black;1665266775020;1665266775580;234.81;220.32;246.75;;0.56;0.00
850270;C115_G2;;car;black;1665266842100;1665266842380;245.43;245.43;245.43;;0.28;0.00
850562;C115_G2;;car;blue;1665267068080;1665267068320;362.01;360.78;362.12;;0.24;0.00
850611;C115_G2;;car;silver;1665267098440;1665267098900;234.33;234.33;234.33;;0.46;0.00
850633;C115_G2;;car;blue;1665267111000;1665267111180;397.62;397.62;397.62;;0.18;0.00
850815;C115_G2;;car;silver;1665267240760;1665267241060;246.18;246.18;246.18;;0.30;0.00
850840;C115_G2;;car;silver;1665267254440;1665267255200;239.22;225.93;251.17;;0.76;0.00
851007;C115_G2;;car;black;1665267380060;1665267380140;347.77;347.77;347.77;;0.08;0.00
851011;C115_G2;;car;silver;1665267382900;1665267383120;373.67;373.67;373.67;;0.22;0.00
851257;C115_G2;;car;blue;1665267566940;1665267567080;381.33;381.33;381.33;;0.14;0.00
851408;C115_G2;;car;silver;1665267652820;1665267653300;265.70;265.70;265.70;;0.48;0.00
851428;C115_G2;;car;black;1665267664560;1665267664880;298.06;298.06;298.06;;0.32;0.00
851442;C115_G2;;car;silver;1665267681180;1665267681780;268.53;254.24;281.86;;0.58;0.00
851543;C115_G2;;car;red;1665267735260;1665267735840;417.46;402.48;514.81;;0.30;0.00
851738;C115_G2;;car;red;1665267862120;1665267862660;294.75;284.61;370.79;;0.34;0.00
851763;C115_G2;;car;silver;1665267875020;1665267875740;299.14;275.34;360.18;;0.68;0.00
851776;C115_G2;;car;black;1665267894600;1665267894960;326.50;321.30;378.51;;0.22;0.00
852067;C115_G2;;car;black;1665268105180;1665268105380;411.27;411.27;411.27;;0.20;0.00
