ID;;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s;;
688785;25;C115_G1;;car;silver;1665229017760;1665229017940;489.42;482.39;503.46;;0.18;0.00;;
688815;30;C115_G1;;car;white;1665229022120;1665229022320;237.68;216.05;240.09;;0.20;0.00;;
689599;784;C115_G1;;car;silver;1665229129460;1665229129700;423.45;420.65;426.25;;0.24;0.00;;
689623;24;C115_G1;;car;silver;1665229132340;1665229132500;324.43;324.43;324.43;;0.16;0.00;;
689715;92;C115_G1;;bus;silver;1665229154300;1665229154530;533.44;533.44;533.44;;0.23;0.23;;
689922;207;C115_G1;;car;silver;1665229179400;1665229179640;445.20;444.92;446.02;;0.24;0.00;;
689936;14;C115_G1;;car;black;1665229182000;1665229182340;303.67;292.00;320.35;;0.34;0.00;;
690197;261;C115_G1;;car;black;1665229220000;1665229220160;538.03;538.03;538.03;;0.16;0.00;;
691428;1231;C115_G1;;car;white;1665229407620;1665229407700;185.19;185.19;185.19;;0.08;0.00;;
691460;32;C115_G1;;car;black;1665229413840;1665229414020;282.85;282.85;282.85;;0.18;0.00;;
691668;208;C115_G1;;car;black;1665229447980;1665229448240;367.73;355.58;368.74;;0.26;0.00;;
692982;1314;C115_G1;;car;undefined;1665229705060;1665229705160;493.72;493.72;493.72;;0.10;0.00;;
693746;764;C115_G1;;car;black;1665229856520;1665229856640;506.53;506.53;506.53;;0.12;0.00;;
694234;488;C115_G1;;car;black;1665229947860;1665229948000;529.88;529.88;529.88;;0.14;0.00;;
694389;155;C115_G1;;car;silver;1665229967120;1665229967200;316.28;316.28;316.28;;0.08;0.00;;
694647;258;C115_G1;;car;red;1665230000260;1665230000440;394.02;394.02;394.02;;0.18;0.00;;
695838;1191;C115_G1;;car;white;1665230140620;1665230140700;326.92;326.92;326.92;;0.08;0.00;;
695916;78;C115_G1;;car;silver;1665230151640;1665230151760;352.96;352.96;352.96;;0.12;0.00;;
696044;128;C115_G1;;car;black;1665230167000;1665230167080;432.66;429.94;440.83;;0.08;0.00;;
696336;292;C115_G1;;car;black;1665230202400;1665230202560;462.10;462.10;462.10;;0.16;0.00;;
696728;392;C115_G1;;car;black;1665230273420;1665230273500;541.66;541.66;541.66;;0.08;0.00;;
696942;214;C115_G1;;car;blue;1665230333860;1665230334120;369.00;358.38;385.98;;0.26;0.00;;
697042;100;C115_G1;;car;black;1665230354520;1665230354740;387.57;383.07;407.82;;0.22;0.00;;
697100;58;C115_G1;;car;white;1665230374840;1665230375100;353.71;350.93;368.98;;0.26;0.00;;
697325;225;C115_G1;;light;silver;1665230425560;1665230426380;450.74;450.74;450.74;;0.82;0.00;;
697655;330;C115_G1;;car;black;1665230486940;1665230487200;414.81;391.41;416.76;;0.26;0.00;;
697884;229;C115_G1;;car;black;1665230532500;1665230532620;395.77;395.77;395.77;;0.12;0.00;;
698291;407;C115_G1;;car;black;1665230623540;1665230624280;74.42;65.27;113.62;;0.74;0.60;;
698358;67;C115_G1;;car;white;1665230633100;1665230633160;608.90;608.90;608.90;;0.06;0.00;;
698371;13;C115_G1;;car;black;1665230635580;1665230635620;587.26;587.26;587.26;;0.04;0.00;;
699420;1049;C115_G1;;car;black;1665230890600;1665230890780;395.70;395.70;395.70;;0.18;0.00;;
699795;375;C115_G1;;car;white;1665230970080;1665230970100;509.86;509.86;509.86;;0.02;0.00;;
699903;108;C115_G1;;car;silver;1665230988340;1665230988760;174.64;174.64;174.64;;0.42;0.00;;
699954;51;C115_G1;;car;silver;1665231004460;1665231004660;194.80;194.80;194.80;;0.20;0.20;;
700109;155;C115_G1;;car;black;1665231037780;1665231037960;502.69;502.69;502.69;;0.18;0.00;;
700178;69;C115_G1;;car;black;1665231058920;1665231059080;529.16;525.39;535.44;;0.16;0.00;;
700202;24;C115_G1;;car;white;1665231068160;1665231068340;511.93;510.79;521.10;;0.18;0.00;;
700210;8;C115_G1;;car;white;1665231071280;1665231071480;485.90;471.50;500.30;;0.20;0.00;;
700272;62;C115_G1;;light;white;1665231091760;1665231091920;427.97;414.34;441.61;;0.16;0.00;;
700406;134;C115_G1;;car;black;1665231127180;1665231127340;440.15;440.15;440.15;;0.16;0.00;;
700506;100;C115_G1;;car;black;1665231135320;1665231135520;353.06;353.06;353.06;;0.20;0.00;;
700623;117;C115_G1;;car;blue;1665231158580;1665231158620;391.94;391.94;391.94;;0.04;0.00;;
701038;415;C115_G1;;car;black;1665231252580;1665231252720;455.56;455.56;455.56;;0.14;0.00;;
701101;63;C115_G1;;car;white;1665231267260;1665231267300;366.69;366.69;366.69;;0.04;0.00;;
701240;139;C115_G1;;car;silver;1665231295640;1665231295700;433.42;433.42;433.42;;0.06;0.00;;
701254;14;C115_G1;;motorcycle;undefined;1665231298980;1665231299100;800.57;779.83;804.72;;0.12;0.00;;
701258;4;C115_G1;;car;black;1665231301920;1665231302040;555.52;555.52;555.52;;0.12;0.00;;
701553;295;C115_G1;;car;black;1665231404320;1665231404340;390.79;390.79;390.79;;0.02;0.00;;
701765;212;C115_G1;;car;silver;1665231459660;1665231459840;420.66;420.66;420.66;;0.18;0.00;;
702109;344;C115_G1;;car;silver;1665231554920;1665231554940;428.81;428.81;428.81;;0.02;0.00;;
702261;152;C115_G1;;car;silver;1665231591220;1665231591360;360.53;360.53;360.53;;0.14;0.00;;
702319;58;C115_G1;;car;black;1665231605180;1665231605420;368.82;361.64;390.36;;0.24;0.00;;
702369;50;C115_G1;;car;silver;1665231619620;1665231619660;556.57;556.57;556.57;;0.04;0.00;;
702464;95;C115_G1;;car;white;1665231639580;1665231639600;528.21;528.21;528.21;;0.02;0.00;;
702484;20;C115_G1;;car;silver;1665231645500;1665231645520;472.58;472.58;472.58;;0.02;0.00;;
702623;139;C115_G1;;car;black;1665231677080;1665231677300;487.41;487.41;487.41;;0.22;0.00;;
703316;693;C115_G1;;car;silver;1665231851160;1665231851220;482.15;482.15;482.15;;0.06;0.00;;
703368;52;C115_G1;;car;white;1665231859240;1665231859440;410.45;410.45;410.45;;0.20;0.00;;
703477;109;C115_G1;;car;silver;1665231884120;1665231884140;378.64;378.64;378.64;;0.02;0.00;;
703522;45;C115_G1;;car;silver;1665231895220;1665231895320;540.21;540.21;540.21;;0.10;0.00;;
704632;1110;C115_G1;;car;white;1665232172360;1665232172400;301.24;301.24;301.24;;0.04;0.00;;
705267;635;C115_G1;;car;black;1665232310120;1665232310140;334.34;334.34;334.34;;0.02;0.00;;
705280;13;C115_G1;;car;white;1665232313680;1665232313800;313.40;313.40;313.40;;0.12;0.00;;
705330;50;C115_G1;;car;silver;1665232322660;1665232322800;462.34;462.34;462.34;;0.14;0.00;;
705446;116;C115_G1;;car;silver;1665232361060;1665232361080;464.31;464.31;464.31;;0.02;0.00;;
705660;214;C115_G1;;car;black;1665232411740;1665232411780;347.23;347.23;347.23;;0.04;0.00;;
705669;9;C115_G1;;car;white;1665232414300;1665232414380;410.23;410.23;410.23;;0.08;0.00;;
705886;217;C115_G1;;light;white;1665232498600;1665232498760;341.65;341.65;341.65;;0.16;0.00;;
706248;362;C115_G1;;car;black;1665232602560;1665232602680;440.06;440.06;440.06;;0.12;0.00;;
706251;3;C115_G1;;car;white;1665232605780;1665232605900;547.41;524.96;551.90;;0.12;0.00;;
706442;191;C115_G1;;car;silver;1665232690880;1665232690920;435.04;435.04;435.04;;0.04;0.00;;
706510;68;C115_G1;;car;white;1665232708100;1665232708160;504.31;504.31;504.31;;0.06;0.00;;
706841;331;C115_G1;;car;silver;1665232785480;1665232785620;474.56;474.56;474.56;;0.14;0.00;;
707110;269;C115_G1;;car;black;1665232833840;1665232833900;441.67;441.67;441.67;;0.06;0.00;;
707230;120;C115_G1;;car;silver;1665232861340;1665232861560;360.45;357.34;368.72;;0.22;0.00;;
707333;103;C115_G1;;car;red;1665232884100;1665232884140;465.42;465.42;465.42;;0.04;0.00;;
707432;99;C115_G1;;car;silver;1665232910420;1665232910560;471.54;471.54;471.54;;0.14;0.00;;
707438;6;C115_G1;;light;white;1665232912840;1665232912980;427.17;427.17;427.17;;0.14;0.00;;
707876;438;C115_G1;;car;black;1665233031320;1665233031500;394.18;394.18;394.18;;0.18;0.00;;
707930;54;C115_G1;;car;black;1665233043420;1665233043560;441.25;441.25;441.25;;0.14;0.00;;
708193;263;C115_G1;;car;black;1665233141320;1665233141360;316.14;316.14;316.14;;0.04;0.00;;
708195;2;C115_G1;;car;silver;1665233143140;1665233143420;358.58;358.58;358.58;;0.28;0.00;;
708314;119;C115_G1;;light;white;1665233168980;1665233169040;504.16;500.59;511.29;;0.06;0.00;;
708726;412;C115_G1;;car;white;1665233303220;1665233303400;334.01;334.01;334.01;;0.18;0.00;;
708762;36;C115_G1;;car;red;1665233314760;1665233314920;423.17;423.17;423.17;;0.16;0.00;;
708770;8;C115_G1;;car;white;1665233317320;1665233317460;322.27;322.27;322.27;;0.14;0.00;;
708941;171;C115_G1;;car;white;1665233381480;1665233381640;479.49;475.72;480.75;;0.16;0.00;;
708963;22;C115_G1;;car;black;1665233384980;1665233385140;395.66;395.66;395.66;;0.16;0.00;;
709236;273;C115_G1;;car;silver;1665233442240;1665233442360;364.37;364.37;364.37;;0.12;0.00;;
709275;39;C115_G1;;car;black;1665233450860;1665233450940;295.75;295.75;295.75;;0.08;0.00;;
709292;17;C115_G1;;car;black;1665233457240;1665233457320;522.68;522.68;522.68;;0.08;0.00;;
709379;87;C115_G1;;car;black;1665233486840;1665233487000;416.37;404.27;420.41;;0.16;0.00;;
709637;258;C115_G1;;car;black;1665233583960;1665233584080;462.97;462.97;462.97;;0.12;0.00;;
709744;107;C115_G1;;car;white;1665233621080;1665233621200;571.65;571.65;571.65;;0.12;0.00;;
709792;48;C115_G1;;car;silver;1665233648680;1665233648820;478.22;478.22;478.22;;0.14;0.00;;
709857;65;C115_G1;;car;black;1665233670080;1665233670200;660.16;627.75;666.64;;0.12;0.00;;
710017;160;C115_G1;;car;silver;1665233710440;1665233710560;560.78;560.78;560.78;;0.12;0.00;;
710506;489;C115_G1;;car;black;1665233839460;1665233839500;434.40;434.40;434.40;;0.04;0.00;;
