C_G;START_TIMESTAMP;END_TIMESTAMP;BICYCLE;BUS;CAR;HEAVY;LIGHT;MOTORCYCLE;DATA_VALIDITY_STATUS
C115_G2;1657205065620;1661187169260;26;341;10501;85;584;247;ok
C115_G2;1657205065620;1661187188640;26;341;10502;85;584;247;ok
C115_G2;1657205065620;1661187224340;26;341;10503;85;584;247;ok
C115_G2;1657205065620;1661187228080;26;341;10504;85;584;247;ok
C115_G2;1657205065620;1661187230800;26;341;10504;85;585;247;ok
C115_G2;1657205065620;1661187246100;26;341;10505;85;585;247;ok
C115_G2;1657205065620;1661187294040;26;341;10506;85;585;247;ok
C115_G2;1657205065620;1661187339600;26;341;10507;85;585;247;ok
C115_G2;1657205065620;1661187351160;26;341;10508;85;585;247;ok
C115_G2;1657205065620;1661187353200;26;341;10509;85;585;247;ok
C115_G2;1657205065620;1661187356940;26;341;10510;85;585;247;ok
C115_G2;1657205065620;1661187377340;26;341;10511;85;585;247;ok
C115_G2;1657205065620;1661187382780;26;341;10511;85;585;248;ok
C115_G2;1657205065620;1661187396040;26;341;10512;85;585;248;ok
C115_G2;1657205065620;1661187447400;26;341;10513;85;585;248;ok
C115_G2;1657205065620;1661187456580;26;341;10515;85;585;248;ok
C115_G2;1657205065620;1661187457260;26;341;10514;85;585;248;ok
C115_G2;1657205065620;1661187473240;26;341;10515;85;585;248;ok
C115_G2;1657205065620;1661187473580;26;341;10514;85;586;248;ok
C115_G2;1657205065620;1661187490580;26;341;10515;85;586;248;ok
C115_G2;1657205065620;1661187515060;26;341;10516;85;586;248;ok
C115_G2;1657205065620;1661187544300;26;341;10517;85;586;248;ok
C115_G2;1657205065620;1661187548040;26;341;10518;85;586;248;ok
C115_G2;1657205065620;1661187557900;26;341;10519;85;586;248;ok
C115_G2;1657205065620;1661187566060;26;341;10520;85;586;248;ok
C115_G2;1657205065620;1661187569460;26;341;10521;85;586;248;ok
C115_G2;1657205065620;1661187574220;26;341;10522;85;586;248;ok
C115_G2;1657205065620;1661187574560;26;341;10521;85;586;248;ok
C115_G2;1657205065620;1661187574900;26;341;10522;85;586;248;ok
C115_G2;1657205065620;1661187600060;26;341;10523;85;586;248;ok
C115_G2;1657205065620;1661187605160;26;341;10524;85;586;248;ok
C115_G2;1657205065620;1661187638820;26;341;10525;85;586;248;ok
C115_G2;1657205065620;1661187664660;26;341;10525;85;587;248;ok
C115_G2;1657205065620;1661187665000;26;342;10525;85;586;248;ok
C115_G2;1657205065620;1661187669760;26;343;10525;85;586;248;ok
C115_G2;1657205065620;1661187693900;26;343;10525;85;587;248;ok
C115_G2;1657205065620;1661187703760;26;343;10526;85;587;248;ok
C115_G2;1657205065620;1661187713280;26;343;10527;85;587;248;ok
C115_G2;1657205065620;1661187725520;26;343;10528;85;587;248;ok
C115_G2;1657205065620;1661187740140;26;343;10529;85;587;248;ok
C115_G2;1657205065620;1661187748300;26;343;10530;85;587;248;ok
C115_G2;1657205065620;1661187830580;26;343;10531;85;587;248;ok
C115_G2;1657205065620;1661187834320;26;343;10532;85;587;248;ok
C115_G2;1657205065620;1661187864240;26;343;10533;85;587;248;ok
C115_G2;1657205065620;1661187894840;26;344;10533;85;587;248;ok
C115_G2;1657205065620;1661187898920;26;343;10534;85;587;248;ok
C115_G2;1657205065620;1661187915580;26;343;10535;85;587;248;ok
C115_G2;1657205065620;1661187947540;26;343;10536;85;587;248;ok
C115_G2;1657205065620;1661187967260;26;343;10537;85;587;248;ok
C115_G2;1657205065620;1661187988000;26;343;10538;85;587;248;ok
C115_G2;1657205065620;1661187993100;26;343;10539;85;587;248;ok
C115_G2;1657205065620;1661187998540;26;343;10540;85;587;248;ok
C115_G2;1657205065620;1661188013840;26;343;10541;85;587;248;ok
C115_G2;1657205065620;1661188018940;26;343;10542;85;587;248;ok
C115_G2;1657205065620;1661188021320;26;343;10542;85;588;248;ok
C115_G2;1657205065620;1661188040360;26;343;10543;85;588;248;ok
C115_G2;1657205065620;1661188046480;26;343;10544;85;588;248;ok
C115_G2;1657205065620;1661188062800;26;343;10545;85;588;248;ok
C115_G2;1657205065620;1661188065520;26;343;10546;85;588;248;ok
C115_G2;1657205065620;1661188086940;26;343;10547;85;588;248;ok
C115_G2;1657205065620;1661188095780;26;343;10548;85;588;248;ok
C115_G2;1657205065620;1661188128760;26;343;10549;85;588;248;ok
C115_G2;1657205065620;1661188131480;26;343;10550;85;588;248;ok
C115_G2;1657205065620;1661188153580;26;343;10551;85;588;248;ok
C115_G2;1657205065620;1661188159700;26;343;10552;85;588;248;ok
C115_G2;1657205065620;1661188171260;26;343;10553;85;588;248;ok
C115_G2;1657205065620;1661188189960;26;343;10554;85;588;248;ok
C115_G2;1657205065620;1661188221240;26;343;10555;85;588;248;ok
C115_G2;1657205065620;1661188253880;26;343;10556;85;588;248;ok
C115_G2;1657205065620;1661188296040;26;343;10557;85;588;248;ok
C115_G2;1657205065620;1661188332760;26;343;10558;85;588;248;ok
C115_G2;1657205065620;1661188336500;26;343;10559;85;588;248;ok
C115_G2;1657205065620;1661188349420;26;343;10560;85;588;248;ok
C115_G2;1657205065620;1661188367440;26;343;10561;85;588;248;ok
C115_G2;1657205065620;1661188393960;26;343;10562;85;588;248;ok
C115_G2;1657205065620;1661188396680;26;343;10563;85;588;248;ok
C115_G2;1657205065620;1661188404840;26;343;10564;85;588;248;ok
C115_G2;1657205065620;1661188408920;26;343;10565;85;588;248;ok
C115_G2;1657205065620;1661188418440;26;343;10566;85;588;248;ok
C115_G2;1657205065620;1661188420480;26;343;10567;85;588;248;ok
C115_G2;1657205065620;1661188426260;26;343;10568;85;588;248;ok
C115_G2;1657205065620;1661188429320;26;343;10569;85;588;248;ok
C115_G2;1657205065620;1661188478960;26;343;10570;85;588;248;ok
C115_G2;1657205065620;1661188484740;26;343;10571;85;588;248;ok
C115_G2;1657205065620;1661188491880;26;343;10571;85;589;248;ok
C115_G2;1657205065620;1661188526560;26;343;10572;85;589;248;ok
C115_G2;1657205065620;1661188544920;26;343;10573;85;589;248;ok
C115_G2;1657205065620;1661188552740;26;343;10574;85;589;248;ok
C115_G2;1657205065620;1661188584360;26;343;10575;85;589;248;ok
C115_G2;1657205065620;1661188601700;26;343;10576;85;589;248;ok
C115_G2;1657205065620;1661188608500;26;343;10577;85;589;248;ok
C115_G2;1657205065620;1661188619040;26;343;10578;85;589;248;ok
