C_G;START_TIMESTAMP;END_TIMESTAMP;BICYCLE;BUS;CAR;HEAVY;LIGHT;MOTORCYCLE;DATA_VALIDITY_STATUS
C115_G3;1657205065620;1665306667320;246;1959;56542;483;1481;1268;ok
C115_G3;1657205065620;1665306706420;246;1959;56543;483;1481;1268;ok
C115_G3;1657205065620;1665306710380;246;1959;56544;483;1481;1268;ok
C115_G3;1657205065620;1665306756840;246;1960;56544;483;1481;1268;ok
C115_G3;1657205065620;1665306799240;246;1960;56545;483;1481;1268;ok
C115_G3;1657205065620;1665306800480;246;1960;56546;483;1481;1268;ok
C115_G3;1657205065620;1665306809000;246;1960;56547;483;1481;1268;ok
C115_G3;1657205065620;1665306898360;246;1960;56548;483;1481;1268;ok
C115_G3;1657205065620;1665307114320;246;1960;56549;483;1481;1268;ok
C115_G3;1657205065620;1665307117760;246;1960;56550;483;1481;1268;ok
C115_G3;1657205065620;1665307161360;246;1960;56551;483;1481;1268;ok
C115_G3;1657205065620;1665307164120;246;1960;56552;483;1481;1268;ok
C115_G3;1657205065620;1665307241920;246;1960;56553;483;1481;1268;ok
C115_G3;1657205065620;1665307244380;246;1960;56554;483;1481;1268;ok
C115_G3;1657205065620;1665307297360;246;1960;56555;483;1481;1268;ok
C115_G3;1657205065620;1665307411320;246;1960;56556;483;1481;1268;ok
C115_G3;1657205065620;1665307441240;246;1960;56557;483;1481;1268;ok
C115_G3;1657205065620;1665307442480;246;1960;56556;483;1481;1268;ok
C115_G3;1657205065620;1665307443720;246;1960;56557;483;1481;1268;ok
C115_G3;1657205065620;1665307445060;246;1960;56558;483;1481;1268;ok
C115_G3;1657205065620;1665307465100;246;1960;56559;483;1481;1268;ok
C115_G3;1657205065620;1665307573320;246;1960;56560;483;1481;1268;ok
C115_G3;1657205065620;1665307586120;246;1960;56561;483;1481;1268;ok
C115_G3;1657205065620;1665307605000;246;1960;56562;483;1481;1268;ok
C115_G3;1657205065620;1665307675620;246;1960;56563;483;1481;1268;ok
C115_G3;1657205065620;1665307891480;246;1960;56564;483;1481;1268;ok
C115_G3;1657205065620;1665307921660;246;1960;56565;483;1481;1268;ok
C115_G3;1657205065620;1665307943040;246;1960;56566;483;1481;1268;ok
C115_G3;1657205065620;1665307972180;246;1960;56567;483;1481;1268;ok
C115_G3;1657205065620;1665308077640;246;1960;56568;483;1481;1268;ok
C115_G3;1657205065620;1665308094020;246;1960;56569;483;1481;1268;ok
C115_G3;1657205065620;1665308097960;246;1960;56570;483;1481;1268;ok
C115_G3;1657205065620;1665308170880;246;1960;56572;483;1481;1268;ok
C115_G3;1657205065620;1665308181460;246;1960;56573;483;1481;1268;ok
C115_G3;1657205065620;1665308205320;246;1960;56574;483;1481;1268;ok
C115_G3;1657205065620;1665308213260;246;1960;56575;483;1481;1268;ok
C115_G3;1657205065620;1665308439020;246;1960;56576;483;1481;1268;ok
C115_G3;1657205065620;1665308441600;246;1960;56575;483;1481;1268;ok
C115_G3;1657205065620;1665308503480;246;1960;56576;483;1481;1268;ok
C115_G3;1657205065620;1665308504740;246;1960;56577;483;1481;1268;ok
C115_G3;1657205065620;1665308511200;246;1960;56578;483;1481;1268;ok
C115_G3;1657205065620;1665308513700;246;1960;56579;483;1481;1268;ok
C115_G3;1657205065620;1665308516640;246;1960;56580;483;1481;1268;ok
C115_G3;1657205065620;1665308519180;246;1960;56581;483;1481;1268;ok
C115_G3;1657205065620;1665308524520;246;1960;56582;483;1481;1268;ok
C115_G3;1657205065620;1665308560580;246;1961;56582;483;1481;1268;ok
C115_G3;1657205065620;1665308567120;246;1961;56583;483;1481;1268;ok
C115_G3;1657205065620;1665308613080;246;1961;56584;483;1481;1268;ok
C115_G3;1657205065620;1665308641000;246;1961;56585;483;1481;1268;ok
C115_G3;1657205065620;1665308647400;246;1961;56586;483;1481;1268;ok
C115_G3;1657205065620;1665308705220;246;1961;56587;483;1481;1268;ok
C115_G3;1657205065620;1665308708100;246;1961;56588;483;1481;1268;ok
C115_G3;1657205065620;1665308803100;246;1961;56589;483;1481;1268;ok
C115_G3;1657205065620;1665308807760;246;1961;56588;483;1481;1268;ok
C115_G3;1657205065620;1665308899800;246;1961;56589;483;1481;1268;ok
