C_G;START_TIMESTAMP;END_TIMESTAMP;BICYCLE;BUS;CAR;HEAVY;LIGHT;MOTORCYCLE;DATA_VALIDITY_STATUS
C115_G1;1657210000000;1661243407400;75;431;14824;133;417;291;ok
C115_G1;1657210000000;1661243410100;75;431;14825;133;417;291;ok
C115_G1;1657210000000;1661243446420;75;431;14826;133;417;291;ok
C115_G1;1657210000000;1661243469480;75;431;14827;133;417;291;ok
C115_G1;1657210000000;1661243471000;75;431;14828;133;417;291;ok
C115_G1;1657210000000;1661243478680;75;431;14829;133;417;291;ok
C115_G1;1657210000000;1661243574480;75;432;14829;133;417;291;ok
C115_G1;1657210000000;1661243582900;75;432;14830;133;417;291;ok
C115_G1;1657210000000;1661243593720;75;432;14831;133;417;291;ok
C115_G1;1657210000000;1661243596800;75;432;14832;133;417;291;ok
C115_G1;1657210000000;1661243632520;75;432;14833;133;417;291;ok
C115_G1;1657210000000;1661243639000;75;432;14834;133;417;291;ok
C115_G1;1657210000000;1661243640920;75;432;14835;133;417;291;ok
C115_G1;1657210000000;1661243642920;75;432;14836;133;417;291;ok
C115_G1;1657210000000;1661243647160;75;432;14837;133;417;291;ok
C115_G1;1657210000000;1661243682580;75;432;14838;133;417;291;ok
C115_G1;1657210000000;1661243687580;75;432;14839;133;417;291;ok
C115_G1;1657210000000;1661243692520;75;432;14840;133;417;291;ok
C115_G1;1657210000000;1661243734680;75;432;14841;133;417;291;ok
C115_G1;1657210000000;1661243891720;75;432;14842;133;417;291;ok
C115_G1;1657210000000;1661243925600;75;432;14843;133;417;291;ok
C115_G1;1657210000000;1661243928440;75;432;14844;133;417;291;ok
C115_G1;1657210000000;1661243929980;75;432;14844;133;418;291;ok
C115_G1;1657210000000;1661243932560;75;432;14845;133;418;291;ok
C115_G1;1657210000000;1661243972040;75;432;14846;133;418;291;ok
C115_G1;1657210000000;1661243984760;75;432;14847;133;418;291;ok
C115_G1;1657210000000;1661243996600;75;432;14848;133;418;291;ok
C115_G1;1657210000000;1661244018920;75;432;14849;133;418;291;ok
C115_G1;1657210000000;1661244024940;75;432;14850;133;418;291;ok
C115_G1;1657210000000;1661244033700;75;432;14851;133;418;291;ok
C115_G1;1657210000000;1661244048560;75;433;14851;133;418;291;ok
C115_G1;1657210000000;1661244069700;75;433;14852;133;418;291;ok
C115_G1;1657210000000;1661244071240;75;433;14853;133;418;291;ok
C115_G1;1657210000000;1661244092500;75;433;14854;133;418;291;ok
C115_G1;1657210000000;1661244096200;75;433;14855;133;418;291;ok
C115_G1;1657210000000;1661244099340;75;433;14856;133;418;291;ok
C115_G1;1657210000000;1661244102800;75;433;14857;133;418;291;ok
C115_G1;1657210000000;1661244134180;76;433;14857;133;418;291;ok
C115_G1;1657210000000;1661244162980;76;433;14858;133;418;291;ok
C115_G1;1657210000000;1661244165220;76;433;14859;133;418;291;ok
C115_G1;1657210000000;1661244173140;76;433;14860;133;418;291;ok
C115_G1;1657210000000;1661244179000;76;434;14860;133;418;291;ok
C115_G1;1657210000000;1661244188600;76;435;14860;133;418;291;ok
C115_G1;1657210000000;1661244194540;76;435;14861;133;418;291;ok
C115_G1;1657210000000;1661244228400;76;435;14862;133;418;291;ok
C115_G1;1657210000000;1661244259880;76;435;14863;133;418;291;ok
C115_G1;1657210000000;1661244270620;76;435;14864;133;418;291;ok
C115_G1;1657210000000;1661244373580;76;435;14864;133;419;291;ok
C115_G1;1657210000000;1661244383720;76;435;14864;133;420;291;ok
C115_G1;1657210000000;1661244452880;76;436;14864;133;420;291;ok
C115_G1;1657210000000;1661244456500;76;436;14865;133;420;291;ok
C115_G1;1657210000000;1661244459720;76;436;14866;133;420;291;ok
C115_G1;1657210000000;1661244561960;76;436;14867;133;420;291;ok
C115_G1;1657210000000;1661244564460;76;436;14868;133;420;291;ok
C115_G1;1657210000000;1661244568920;76;436;14869;133;420;291;ok
C115_G1;1657210000000;1661244574360;76;436;14870;133;420;291;ok
C115_G1;1657210000000;1661244596000;76;436;14871;133;420;291;ok
C115_G1;1657210000000;1661244615820;76;436;14872;133;420;291;ok
C115_G1;1657210000000;1661244713660;76;436;14873;133;420;291;ok
C115_G1;1657210000000;1661244760800;76;436;14874;133;420;291;ok
C115_G1;1657210000000;1661244774860;76;436;14875;133;420;291;ok
C115_G1;1657210000000;1661244786100;76;436;14876;133;420;291;ok
C115_G1;1657210000000;1661244801160;76;436;14877;133;420;291;ok
C115_G1;1657210000000;1661244818220;76;436;14878;133;420;291;ok
C115_G1;1657210000000;1661244822700;76;436;14879;133;420;291;ok
C115_G1;1657210000000;1661244829560;76;436;14880;133;420;291;ok
C115_G1;1657210000000;1661244857240;76;436;14881;133;420;291;ok
C115_G1;1657210000000;1661244864580;76;436;14882;133;420;291;ok
C115_G1;1657210000000;1661244897260;76;436;14883;133;420;291;ok
C115_G1;1657210000000;1661244925820;76;436;14884;133;420;291;ok
C115_G1;1657210000000;1661244934800;76;436;14884;133;421;291;ok
C115_G1;1657210000000;1661244951440;76;436;14885;133;421;291;ok
C115_G1;1657210000000;1661244957920;76;436;14886;133;421;291;ok
C115_G1;1657210000000;1661244960740;76;436;14887;133;421;291;ok
C115_G1;1657210000000;1661244970200;76;436;14888;133;421;291;ok
C115_G1;1657210000000;1661244992880;76;436;14889;133;421;291;ok
C115_G1;1657210000000;1661245009580;76;436;14890;133;421;291;ok
C115_G1;1657210000000;1661245044580;76;436;14891;133;421;291;ok
C115_G1;1657210000000;1661245054180;76;437;14891;133;421;291;ok
C115_G1;1657210000000;1661245056640;76;437;14892;133;421;291;ok
C115_G1;1657210000000;1661245067080;76;437;14893;133;421;291;ok
