ID;C_G;Licence_plate;Category;Color;Trajectory_start;Trajectory_end;Average_ speed_kpxh;Minimum_speed_kpxh;Maximum_speed_kpxh;Section_speed_kmh;Duration_of_occurrence_s;Stationary_duration_s
836557;C115_G3;;car;black;1665259601700;1665259601760;1002.36;1002.36;1002.36;;0.06;0.00
836586;C115_G3;;car;white;1665259615180;1665259615260;866.28;866.28;866.28;;0.08;0.00
836606;C115_G3;;car;silver;1665259621320;1665259621380;1181.82;1181.82;1181.82;;0.06;0.00
836621;C115_G3;;car;silver;1665259626100;1665259626160;1028.56;1028.56;1028.56;;0.06;0.00
836628;C115_G3;;car;black;1665259629880;1665259629960;839.28;839.28;839.28;;0.08;0.00
836681;C115_G3;;car;black;1665259654000;1665259654060;1029.38;1029.38;1029.38;;0.06;0.00
836691;C115_G3;;car;silver;1665259659220;1665259659280;962.47;960.33;963.54;;0.06;0.00
836719;C115_G3;;car;blue;1665259672220;1665259672360;495.55;495.55;495.55;;0.14;0.00
836761;C115_G3;;car;black;1665259691660;1665259691720;1019.36;1019.36;1019.36;;0.06;0.00
836781;C115_G3;;car;black;1665259695320;1665259695400;987.18;986.90;987.27;;0.08;0.00
836790;C115_G3;;motorcycle;undefined;1665259698340;1665259698440;682.82;682.82;682.82;;0.10;0.00
836853;C115_G3;;car;red;1665259727860;1665259727920;1162.16;1162.16;1162.16;;0.06;0.00
836859;C115_G3;;car;white;1665259729540;1665259729600;1119.73;1119.73;1119.73;;0.06;0.00
836869;C115_G3;;car;blue;1665259741545;1665259745550;26.84;26.84;26.84;;4.00;4.00
836870;C115_G3;;motorcycle;undefined;1665259731740;1665259731800;1134.57;1134.57;1134.57;;0.06;0.00
836880;C115_G3;;car;blue;1665259753040;1665259753180;408.55;408.55;408.55;;0.14;0.00
836883;C115_G3;;car;black;1665259736720;1665259736780;866.02;866.02;866.02;;0.06;0.00
836894;C115_G3;;car;black;1665259739360;1665259739420;890.55;890.55;890.55;;0.06;0.00
836907;C115_G3;;car;black;1665259749500;1665259749560;1123.18;1123.18;1123.18;;0.06;0.00
836974;C115_G3;;car;black;1665259788240;1665259788320;901.97;901.97;901.97;;0.08;0.00
836999;C115_G3;;car;blue;1665259805080;1665259805220;642.80;642.80;642.80;;0.14;0.00
837053;C115_G3;;car;blue;1665259834460;1665259834600;616.88;616.88;616.88;;0.14;0.00
837102;C115_G3;;car;blue;1665259849720;1665259849820;930.26;930.26;930.26;;0.10;0.00
837113;C115_G3;;car;blue;1665259851840;1665259851940;610.46;601.37;612.74;;0.10;0.00
837199;C115_G3;;car;blue;1665259877460;1665259877540;406.16;406.16;406.16;;0.08;0.00
837224;C115_G3;;car;black;1665259893080;1665259893160;815.63;815.63;815.63;;0.08;0.00
837231;C115_G3;;car;black;1665259894480;1665259894540;1110.58;1110.58;1110.58;;0.06;0.00
837243;C115_G3;;car;black;1665259899760;1665259899820;1166.92;1166.92;1166.92;;0.06;0.00
837257;C115_G3;;car;blue;1665259906120;1665259906220;520.16;520.16;520.16;;0.10;0.00
837259;C115_G3;;car;blue;1665259906180;1665259906240;861.55;861.55;861.55;;0.06;0.00
837270;C115_G3;;car;black;1665259910740;1665259910820;794.46;794.46;794.46;;0.08;0.00
837291;C115_G3;;car;white;1665259918720;1665259918800;890.76;890.76;890.76;;0.08;0.00
837299;C115_G3;;car;silver;1665259921220;1665259921300;816.12;816.12;816.12;;0.08;0.00
837341;C115_G3;;car;silver;1665259939240;1665259939340;249.84;249.84;249.84;;0.10;0.00
837352;C115_G3;;car;silver;1665259942540;1665259942620;955.98;955.98;955.98;;0.08;0.00
837373;C115_G3;;car;black;1665259949380;1665259949440;930.44;930.44;930.44;;0.06;0.00
837428;C115_G3;;car;blue;1665259974240;1665259974340;650.77;650.77;650.77;;0.10;0.00
837509;C115_G3;;car;blue;1665260010120;1665260010240;416.88;416.88;416.88;;0.12;0.00
837539;C115_G3;;car;blue;1665260021180;1665260022360;176.21;176.21;176.21;;1.18;1.18
837540;C115_G3;;car;blue;1665260028540;1665260055940;383.90;358.57;423.70;;0.36;0.00
837633;C115_G3;;car;blue;1665260066560;1665260066700;358.59;358.59;358.59;;0.14;0.00
837640;C115_G3;;car;black;1665260066980;1665260067060;723.32;723.32;723.32;;0.08;0.00
837660;C115_G3;;car;silver;1665260071560;1665260071640;752.02;752.02;752.02;;0.08;0.00
837665;C115_G3;;bus;undefined;1665260072220;1665260072280;912.22;912.22;912.22;;0.06;0.00
837701;C115_G3;;car;blue;1665260082920;1665260083040;590.58;590.58;590.58;;0.12;0.00
837711;C115_G3;;car;silver;1665260086780;1665260086900;642.66;642.66;642.66;;0.12;0.00
837730;C115_G3;;car;silver;1665260094200;1665260094260;1030.59;1030.59;1030.59;;0.06;0.00
837743;C115_G3;;car;black;1665260099340;1665260099380;994.86;994.86;994.86;;0.04;0.00
837775;C115_G3;;car;blue;1665260117180;1665260117320;324.88;324.88;324.88;;0.14;0.00
837782;C115_G3;;car;black;1665260115800;1665260115860;768.99;768.99;768.99;;0.06;0.00
837827;C115_G3;;car;yellow;1665260139520;1665260139580;1193.50;1193.50;1193.50;;0.06;0.00
837850;C115_G3;;car;blue;1665260147950;1665260149200;101.96;101.96;101.96;;1.25;1.25
837851;C115_G3;;car;silver;1665260149860;1665260149920;1164.92;1164.92;1164.92;;0.06;0.00
837857;C115_G3;;car;blue;1665260162520;1665260180960;586.73;478.65;694.82;;0.20;0.00
837861;C115_G3;;car;blue;1665260156520;1665260156640;512.43;512.43;512.43;;0.12;0.00
837946;C115_G3;;car;blue;1665260184800;1665260184980;486.16;486.16;486.16;;0.18;0.00
837957;C115_G3;;car;black;1665260222920;1665260223100;499.67;499.67;499.67;;0.18;0.00
837963;C115_G3;;car;black;1665260201360;1665260201480;279.15;279.15;279.15;;0.12;0.00
838022;C115_G3;;car;blue;1665260217100;1665260217280;249.09;249.09;249.09;;0.18;0.00
838023;C115_G3;;car;black;1665260214180;1665260214260;887.52;887.52;887.52;;0.08;0.00
838033;C115_G3;;car;black;1665260217440;1665260217500;893.75;893.75;893.75;;0.06;0.00
838062;C115_G3;;car;blue;1665260237520;1665260237640;414.39;414.39;414.39;;0.12;0.00
838069;C115_G3;;car;silver;1665260226420;1665260226480;924.23;923.74;925.21;;0.06;0.00
838075;C115_G3;;car;silver;1665260227680;1665260227720;955.57;955.57;955.57;;0.04;0.00
838077;C115_G3;;car;blue;1665260283070;1665260283260;4.08;4.08;4.08;;0.19;0.19
838152;C115_G3;;car;blue;1665260256280;1665260256560;591.55;565.15;598.75;;0.28;0.00
838188;C115_G3;;car;black;1665260269900;1665260269960;842.45;842.45;842.45;;0.06;0.00
838209;C115_G3;;car;black;1665260275340;1665260275400;1106.79;1106.79;1106.79;;0.06;0.00
838222;C115_G3;;car;blue;1665260278440;1665260278500;1081.58;1081.58;1081.58;;0.06;0.00
838225;C115_G3;;car;black;1665260280200;1665260280260;1103.93;1103.93;1103.93;;0.06;0.00
838291;C115_G3;;car;white;1665260300420;1665260300480;1089.41;1089.41;1089.41;;0.06;0.00
838308;C115_G3;;car;white;1665260304020;1665260304080;1132.92;1132.92;1132.92;;0.06;0.00
838320;C115_G3;;car;blue;1665260308660;1665260308720;1061.30;1061.30;1061.30;;0.06;0.00
838376;C115_G3;;car;blue;1665260331920;1665260332060;557.85;557.85;557.85;;0.14;0.00
838413;C115_G3;;car;silver;1665260347540;1665260347620;700.37;698.41;702.33;;0.08;0.00
